temperature,humidity,numVehicles,numPedestrians,ambulanceDetected,delay_time,time
19.9,75,28,1,false,4000,2024-12-15T14:52:00.973Z

19.9,75,28,2,false,4000,2024-12-15T14:52:02.581Z

19.9,75,28,2,false,4000,2024-12-15T14:52:04.447Z

19.9,75,24,2,false,4000,2024-12-15T14:52:06.054Z

19.9,75,24,2,false,4000,2024-12-15T14:52:07.890Z

20,75,24,0,false,4000,2024-12-15T14:52:09.444Z

20,75,24,0,false,3500,2024-12-15T14:52:10.992Z

20,75,24,0,false,3500,2024-12-15T14:52:12.554Z

20,75,24,0,false,3500,2024-12-15T14:52:14.369Z

20,75,24,0,false,3500,2024-12-15T14:52:16.911Z

20,75,24,0,false,3500,2024-12-15T14:52:18.770Z

20,75,24,2,false,3500,2024-12-15T14:52:20.822Z

20,75,24,2,false,3500,2024-12-15T14:52:22.465Z

20,75,33,2,false,3500,2024-12-15T14:52:25.559Z

20,75,33,2,false,3500,2024-12-15T14:52:30.945Z

20,75,33,1,false,3500,2024-12-15T14:52:33.273Z

